TANGGAL;TN;TX;TAVG;RH_AVG;RR;SS;FF_X;DDD_X;FF_AVG;DDD_CAR
2021-05-15;25.2;32.4;28.6;82.0;3.0;2.3;2;310;1;W 
2021-05-17;25.6;32.2;28.0;88.0;1.0;0.0;4;90;2;E 
2021-05-31;26.0;34.8;28.6;82.0;23.6;5.9;5;180;2;S 
2021-06-06;26.0;30.2;27.8;88.0;0.95;4.0;3;280;2;W 
2021-06-09;24.2;32.5;28.0;83.0;4.25;7.8;3;150;2;SE
2021-06-29;24.2;31.1;27.0;84.0;3.9000000000000004;2.8;2;40;1;N 
2021-07-05;24.6;31.3;28.0;82.0;9.059999999999999;5.7;4;250;2;SW
2021-07-06;22.4;31.2;27.6;84.0;11.52;0.4;3;240;1;SW
2021-07-07;24.4;33.3;28.1;79.0;13.98;0.0;5;80;2;E 
2021-07-25;25.4;33.2;28.6;77.0;0.0;7.1;8;160;3;S 
2021-07-31;26.0;30.0;27.6;86.0;0.0;3.6;3;280;2;W 
2021-08-05;24.8;34.2;28.1;80.0;2.3;6.7;5;260;3;SW
2021-08-07;20.4;33.6;28.3;78.0;2.666666666666667;2.2;4;240;2;NE
2021-08-19;24.6;29.8;27.0;85.0;4.5;5.9;4;140;2;SW
2021-09-01;25.0;30.8;27.5;85.0;5.666666666666667;1.8;3;300;2;W 
2021-09-04;22.8;32.2;27.8;80.0;7.866666666666667;1.0;4;310;2;NW
2021-09-10;24.8;33.2;28.7;80.0;17.75;2.95;4;80;2;E 
2021-09-14;24.6;32.6;26.9;88.0;33.55;0.7;5;320;2;NW
2021-09-18;24.6;34.2;28.1;82.0;1.26;1.7;4;170;2;S 
2021-09-19;24.8;33.7;28.3;78.0;2.7800000000000002;1.6;4;170;2;S 
2021-09-20;25.3;33.0;28.0;81.0;3.54;6.2;4;250;2;C 
2021-09-23;25.0;32.5;27.9;81.0;6.5;0.1;3;110;1;E 
2021-09-24;25.2;31.0;27.3;83.0;3.5;2.2;4;300;2;W 
2021-09-29;25.0;32.4;28.2;84.0;2.75;5.3;6;130;2;S 
2021-10-08;25.4;34.2;29.4;78.0;0.7;5.7;4;200;3;SW
2021-10-15;26.9;32.6;27.8;87.0;36.95;2.9;4;220;2;C 
2021-10-25;26.0;32.3;28.2;83.0;1.5333333333333334;5.9;4;190;2;S 
2021-11-04;25.0;33.8;28.3;82.0;10.85;3.7;2;330;1;E 
2021-11-12;25.0;32.2;27.4;86.0;15.45;5.5;5;110;3;NW
2021-11-18;25.0;33.4;27.2;86.0;24.75;1.8;3;180;1;SE
2021-11-24;26.2;30.9;27.4;87.0;9.05;4.1;3;290;1;C 
2021-11-26;25.2;32.4;29.0;80.0;17.2;1.4;2;300;1;C 
2021-11-30;24.4;31.8;27.8;82.0;4.425;0.2;3;80;2;N 
2021-12-01;26.0;34.5;31.5;65.0;4.35;0.4;4;20;2;NW
2021-12-02;25.0;34.8;30.8;70.0;4.275;5.3;4;250;2;W 
2021-12-06;25.2;30.2;28.6;77.0;1.3333333333333333;4.2;5;270;3;W 
2021-12-07;25.0;33.8;29.8;71.0;2.6666666666666665;0.0;5;200;2;SW
2021-12-10;25.8;32.6;29.3;76.0;5.65;3.8;4;280;2;W 
2021-12-24;23.6;29.4;26.5;85.0;23.65;0.7;2;320;1;N 
2021-12-30;24.0;32.5;29.3;72.0;1.15;0.8;3;10;2;NE
2022-01-07;24.5;31.2;26.8;86.0;13.65;2.6;3;40;2;N 
2022-01-09;23.8;33.7;28.2;80.0;6.25;0.7;5;90;2;E 
2022-01-15;23.8;32.6;27.3;83.0;8.1;4.1;5;30;2;N 
2022-01-17;24.0;33.4;27.8;78.0;1.5;0.0;4;110;2;N 
2022-01-22;23.9;33.7;27.8;84.0;8.5;0.0;4;330;2;W 
2022-01-26;24.1;33.6;27.7;84.0;4.4;0.0;4;290;2;C 
2022-02-04;24.8;34.8;29.2;74.0;0.0;6.2;5;10;3;E 
2022-02-21;24.4;30.6;27.0;86.0;3.8;0.0;3;80;2;N 
2022-03-10;24.2;35.0;28.1;81.0;9.15;0.0;4;150;2;N 
2022-03-24;25.0;34.1;28.6;78.0;2.55;0.2;4;80;2;E 
2022-04-01;24.7;34.8;28.1;80.0;10.333333333333332;6.6;7;300;2;NW
2022-04-02;24.6;33.6;27.3;85.0;18.166666666666664;6.9;4;130;2;SW
2022-04-12;23.6;35.2;29.0;79.0;6.1;3.1;5;180;2;SW
2022-04-13;25.4;33.0;28.3;77.0;3.3;7.2;4;300;2;W 
2022-04-15;25.4;35.0;28.2;82.0;3.55;2.5;6;270;2;E 
2022-04-18;25.0;34.2;29.1;79.0;25.46666666666667;5.1;4;80;3;E 
2022-04-19;26.4;35.0;28.7;81.0;20.133333333333333;8.0;5;240;2;NE
2022-04-21;26.0;32.4;27.8;84.0;11.55;4.0;4;70;2;W 
2022-05-11;25.0;33.4;29.0;82.0;15.233333333333333;1.4;4;100;2;E 
2022-05-12;25.8;29.4;26.5;93.0;14.866666666666667;3.8;5;290;1;C 
2022-05-15;24.4;33.9;28.5;83.0;19.333333333333336;0.0;4;100;2;N 
2022-05-16;25.6;33.4;28.1;87.0;35.16666666666667;3.3;3;110;2;E 
2022-05-19;25.4;34.6;28.7;79.0;2.7;3.0;4;110;2;E 
2022-05-23;25.4;32.1;28.3;83.0;13.2;3.4;5;120;2;NE
2022-05-24;25.8;34.0;28.6;79.0;6.6;1.4;5;100;3;E 
2022-05-31;24.8;33.6;28.3;78.0;0.0;5.9;5;90;2;E 
2022-06-03;22.8;35.0;27.7;84.0;10.850000000000001;3.0;3;160;1;N 
2022-06-09;25.4;31.8;26.9;88.0;2.6666666666666665;6.6;4;110;2;NE
2022-06-11;25.2;33.2;27.2;89.0;6.6;3.5;6;100;2;N 
2022-06-22;24.8;31.4;27.6;84.0;4.9;3.8;3;30;2;NW
2022-06-30;23.2;31.0;27.3;80.0;0.0;4.1;5;250;3;SW
2022-07-05;25.3;32.2;28.4;82.0;13.0;1.4;3;230;2;E 
