TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
2021-09-04,"22,8","32,2","27,8",80,8888,1,4,310,2,NW
2021-09-08,-,"32,2","26,8",89,8888,"6,3",5,140,1,C 
2021-09-10,"24,8","33,2","28,7",80,-,-,4,80,2,E 
2021-09-14,"24,6","32,6","26,9",88,8888,"0,7",5,320,2,NW
2021-09-17,-,"32,3","27,5",82,"0,5","0,5",3,190,1,S 
2021-09-18,"24,6","34,2","28,1",82,-,"1,7",4,170,2,S 
2021-09-19,"24,8","33,7","28,3",78,8888,"1,6",4,170,2,S 
2021-09-20,"25,3",33,28,81,-,"6,2",4,250,2,C 
2021-09-23,25,"32,5","27,9",81,8888,"0,1",3,110,1,E 
2021-09-24,"25,2",31,"27,3",83,8888,"2,2",4,300,2,W 
2021-09-26,-,32,"27,9",83,-,"4,3",5,190,2,S 
2021-09-29,25,"32,4","28,2",84,8888,"5,3",6,130,2,S 
2021-10-08,"25,4","34,2","29,4",78,-,"5,7",4,200,3,SW
2021-10-10,-,"34,4",26,92,-,"7,1",5,320,2,SW
2021-10-12,-,"33,2","29,9",70,8888,"3,8",4,190,3,S 
2021-10-15,"26,9","32,6","27,8",87,8888,"2,9",4,220,2,C 
2021-10-24,-,"34,2","28,4",82,8888,"3,2",4,290,2,C 
2021-10-25,26,"32,3","28,2",83,8888,"5,9",4,190,2,S 
2021-11-01,-,34,"29,5",76,-,"7,4",4,350,2,C 
2021-11-04,25,"33,8","28,3",82,8888,"3,7",2,330,1,E 
2021-11-12,25,"32,2","27,4",86,8888,"5,5",5,110,3,NW
2021-11-15,-,"29,4","27,3",86,"5,6",5,5,310,2,N 
2021-11-18,25,"33,4","27,2",86,-,"1,8",3,180,1,SE
2021-11-23,-,"33,8","29,2",79,"3,7","5,6",3,330,2,NE
2021-11-24,"26,2","30,9","27,4",87,8888,"4,1",3,290,1,C 
2021-11-26,"25,2","32,4",29,80,8888,"1,4",2,300,1,C 
2021-11-30,"24,4","31,8","27,8",82,8888,"0,2",3,80,2,N 
2021-12-01,26,"34,5","31,5",65,8888,"0,4",4,20,2,NW
2021-12-02,25,"34,8","30,8",70,-,"5,3",4,250,2,W 
2021-12-06,"25,2","30,2","28,6",77,-,"4,2",5,270,3,W 
2021-12-07,25,"33,8","29,8",71,8888,0,5,200,2,SW
2021-12-10,"25,8","32,6","29,3",76,-,"3,8",4,280,2,W 
2021-12-24,"23,6","29,4","26,5",85,8888,"0,7",2,320,1,N 
2021-12-30,24,"32,5","29,3",72,-,"0,8",3,10,2,NE
2022-01-01,26,"33,6",29,74,0,-,4,100,3,NE
2022-01-07,"24,5","31,2","26,8",86,-,"2,6",3,40,2,N 
2022-01-09,"23,8","33,7","28,2",80,-,"0,7",5,90,2,E 
2022-01-15,"23,8","32,6","27,3",83,8888,"4,1",5,30,2,N 
2022-01-17,24,"33,4","27,8",78,8888,0,4,110,2,N 
2022-01-22,"23,9","33,7","27,8",84,8888,0,4,330,2,W 
2022-01-26,"24,1","33,6","27,7",84,-,0,4,290,2,C 
2022-02-03,-,"33,6","28,2",76,0,"5,3",4,100,2,E 
2022-02-04,"24,8","34,8","29,2",74,-,"6,2",5,10,3,E 
2022-02-08,-,"32,4","27,1",82,"0,2","3,3",4,20,2,NE
2022-02-15,-,33,"27,8",83,8888,"4,9",4,210,2,C 
2022-02-21,"24,4","30,6",27,86,8888,0,3,80,2,N 
2022-02-27,-,"34,6","28,4",72,"0,2","5,8",5,320,3,NW
2022-03-10,"24,2",35,"28,1",81,8888,0,4,150,2,N 
2022-03-20,-,"28,5","25,3",92,"5,6","3,9",3,320,1,NW
2022-03-24,25,"34,1","28,6",78,8888,"0,2",4,80,2,E 
2022-04-01,"24,7","34,8","28,1",80,-,"6,6",7,300,2,NW
2022-04-02,"24,6","33,6","27,3",85,8888,"6,9",4,130,2,SW
2022-04-12,"23,6","35,2",29,79,8888,"3,1",5,180,2,SW
2022-04-13,"25,4",33,"28,3",77,8888,"7,2",4,300,2,W 
2022-04-15,"25,4",35,"28,2",82,8888,"2,5",6,270,2,E 
2022-04-18,25,"34,2","29,1",79,-,"5,1",4,80,3,E 
2022-04-19,"26,4",35,"28,7",81,8888,8,5,240,2,NE
2022-04-20,-,34,"28,8",80,"14,8","5,4",3,130,2,N 
2022-04-21,26,"32,4","27,8",84,-,4,4,70,2,W 
2022-04-25,-,-,-,94,-,"4,5",4,300,2,N 
2022-05-01,-,"33,7",29,80,"1,7",2,5,90,2,E 
2022-05-07,-,"33,8","29,2",81,8888,"4,1",3,80,2,N 
2022-05-09,-,"33,1","27,6",86,"1,5","0,2",3,280,2,N 
2022-05-11,25,"33,4",29,82,8888,"1,4",4,100,2,E 
2022-05-12,"25,8","29,4","26,5",93,-,"3,8",5,290,1,C 
2022-05-15,"24,4","33,9","28,5",83,-,0,4,100,2,N 
2022-05-16,"25,6","33,4","28,1",87,-,"3,3",3,110,2,E 
2022-05-18,24,-,"27,7",84,5,"2,7",4,100,2,E 
2022-05-19,"25,4","34,6","28,7",79,-,3,4,110,2,E 
2022-05-23,"25,4","32,1","28,3",83,-,"3,4",5,120,2,NE
2022-05-24,"25,8",34,"28,6",79,-,"1,4",5,100,3,E 
2022-05-30,23,-,-,-,8888,"1,7",4,30,2,NE
2022-05-31,"24,8","33,6","28,3",78,-,"5,9",5,90,2,E 
2022-06-03,"22,8",35,"27,7",84,-,3,3,160,1,N 
2022-06-08,"24,2",-,"28,5",78,-,"3,5",3,10,2,E 
2022-06-09,"25,4","31,8","26,9",88,8888,"6,6",4,110,2,NE
2022-06-10,-,34,"28,1",82,1,"2,6",3,290,2,N 
2022-06-11,"25,2","33,2","27,2",89,8888,"3,5",6,100,2,N 
2022-06-13,-,33,"27,8",84,"14,3","1,7",3,320,1,C 
