TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR,CUACA,Encoding CUACA
2020-05-16,25.6,34.2,28.6,86.0,18.0,2.2,4,120,1,C ,Hujan,1
2020-05-17,25.8,31.8,28.1,88.0,7.3,3.6,4,150,2,N ,Hujan,1
2020-05-18,25.2,32.2,27.5,88.0,1.8,2.5,3,320,1,C ,Hujan,1
2020-05-19,26.0,31.3,26.5,93.0,12.0,3.0,3,150,1,C ,Hujan,1
2020-05-20,25.0,34.0,28.5,84.0,5.7,0.3,3,260,1,C ,Hujan,1
2020-05-21,25.4,31.6,26.9,91.0,0.0,6.1,4,30,1,C ,Cerah,0
2020-05-22,23.6,28.1,25.7,92.0,45.4,1.4,2,10,1,N ,Hujan,1
2020-05-23,24.4,33.2,28.2,81.0,28.0,0.0,3,150,2,SE,Hujan,1
2020-05-25,26.4,30.6,27.4,90.0,0.0,2.5,4,340,1,N ,Cerah,0
2020-05-26,24.4,34.0,29.0,78.0,0.8,0.8,4,260,2,N ,Hujan,1
2020-05-27,24.6,33.4,29.4,82.0,6.199999999999999,7.7,4,170,2,S ,Hujan,1
2020-05-28,25.0,31.6,28.1,86.0,11.6,5.7,3,250,2,NW,Hujan,1
2020-05-29,24.6,31.4,27.7,85.0,11.7,4.2,4,250,2,W ,Hujan,1
2020-05-30,25.8,33.5,29.0,79.0,0.0,3.2,4,250,2,NW,Cerah,0
2020-05-31,25.6,32.6,28.3,82.0,0.0,5.2,5,260,3,W ,Cerah,0
2020-06-01,24.8,32.0,28.3,83.0,4.4,2.1,4,150,1,C ,Hujan,1
2020-06-02,24.8,33.7,27.3,87.0,0.5,2.7,3,350,1,C ,Hujan,1
2020-06-03,24.8,31.7,28.1,84.0,44.5,3.6,3,230,1,C ,Hujan,1
2020-06-04,25.2,33.9,28.6,82.0,1.4,2.9,3,220,1,C ,Hujan,1
2020-06-05,24.9,33.8,28.8,82.0,0.9333333333333333,4.9,2,340,2,N ,Hujan,1
2020-06-06,24.35,29.4,27.3,86.0,0.4666666666666667,4.9,3,180,2,N ,Hujan,1
