TANGGAL;TN;TX;TAVG;RH_AVG;RR;SS;FF_X;DDD_X;FF_AVG;DDD_CAR
07-01-2021;25,2;32,7;27;89;17,2;2,5;4;90;1;C 
08-01-2021;24,6;33,4;28,1;82;74,9;4,2;5;270;2;SE
09-01-2021;-;33,6;27,6;84;15,5;4,5;4;270;2;W 
10-01-2021;23,8;33,4;28,9;82;21,5;5,7;3;350;2;NW
11-01-2021;25,4;33;28,4;82;-;5,5;4;260;2;S 
12-01-2021;25,8;30,6;27,4;90;4;1,6;3;200;2;C 
13-01-2021;24,6;33,8;28,4;82;34,3;0;4;270;2;W 
14-01-2021;24,6;31,8;27,7;85;-;4;4;300;3;W 
15-01-2021;24,6;29;26,5;87;31;2,9;4;260;2;W 
16-01-2021;23,8;33;27,7;78;4,2;0;5;270;3;W 
17-01-2021;23,8;30,1;26;90;4,1;3,2;2;260;1;SW
18-01-2021;21,5;34,3;28,9;80;3;0;4;180;2;W 
